run_id,input_generation,analysis_group,task,model,segment_dimension,segment_value,class_label,expected_label,predicted_label,metric,value,support,record_id,text,linguistic_level,flagprofanity,hasemoji,hasspellingerror,hasslang,length_class,mixed_sentiment,goldtest
github-31966236667,1,run_metadata,,,,,,,,early_stopping_patience,3,,,,,,,,,,,
github-31966236667,1,run_metadata,,,,,,,,epochs,20,,,,,,,,,,,
github-31966236667,1,run_metadata,,,,,,,,max_tokens,20000,,,,,,,,,,,
github-31966236667,1,run_metadata,,,,,,,,seed,42,,,,,,,,,,,
github-31966236667,1,run_metadata,,,,,,,,sequence_length,96,,,,,,,,,,,
github-31966236667,1,run_metadata,,,,,,,,validation_fraction,0.13397770519263977,,,,,,,,,,,
github-31966236667,1,run_metadata,sentiment,lstm,,,,,,train_size,12480,,,,,,,,,,,
github-31966236667,1,run_metadata,sentiment,lstm,,,,,,fit_size,10809,,,,,,,,,,,
github-31966236667,1,run_metadata,sentiment,lstm,,,,,,validation_size,1671,,,,,,,,,,,
github-31966236667,1,run_metadata,sentiment,lstm,,,,,,incoming_size,2040,,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,lstm,,,,,,accuracy,0.9936274509803922,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,lstm,,,,,,brier_score,0.010199448588620928,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,lstm,,,,,,expected_calibration_error,0.002084419131646222,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,lstm,,,,,,log_loss,0.026626683078472362,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,lstm,,,,,,macro_f1,0.9936252491798762,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,lstm,,,,,,precision_macro,0.993636618758107,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,lstm,,,,,,recall_macro,0.9936274509803922,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,lstm,,,,,,weighted_f1,0.9936252491798762,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,tfidf_logistic,,,,,,accuracy,0.9602941176470589,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,tfidf_logistic,,,,,,brier_score,0.14679703530239963,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,tfidf_logistic,,,,,,expected_calibration_error,0.21223348650302665,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,tfidf_logistic,,,,,,log_loss,0.32839947959228283,2040,,,,,,,,,,
github-31966236667,1,aggregate_metrics,sentiment,tfidf_logistic,,,,,,macro_f1,0.9603089371645037,2040,,,,,,,,,,
