run_id,input_generation,analysis_group,task,model,segment_dimension,segment_value,class_label,expected_label,predicted_label,metric,value,support,record_id,text,linguistic_level,flagprofanity,hasemoji,hasspellingerror,hasslang,length_class,mixed_sentiment,goldtest
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,early_stopping_patience,3,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,epochs,20,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,max_tokens,20000,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,seed,42,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,sequence_length,96,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,validation_fraction,0.13565273244572126,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,pipeline_version,0.7.0,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,agent_version,4.1.0,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,model_timestamp,2026-08-18T01:30:33.895202+00:00,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,,,,,,,,parent_run_id,20260816T191959Z_github-31967215832,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,sentiment,lstm,,,,,,train_size,13320,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,sentiment,lstm,,,,,,fit_size,11514,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,sentiment,lstm,,,,,,validation_size,1806,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,run_metadata,sentiment,lstm,,,,,,incoming_size,2040,,,,,,,,,,,
20260818T013030Z_github-32088408164,3,aggregate_metrics,sentiment,lstm,,,,,,accuracy,0.9941176470588236,2040,,,,,,,,,,
20260818T013030Z_github-32088408164,3,aggregate_metrics,sentiment,lstm,,,,,,brier_score,0.00948137453525506,2040,,,,,,,,,,
